ID,probability
TEST_00000,0.0010357081494549933
TEST_00001,0.0009379296424606608
TEST_00002,0.14518172132131277
TEST_00003,0.0563905485178313
TEST_00004,0.37418205663453225
TEST_00005,0.06281473308515685
TEST_00006,0.33914216816668963
TEST_00007,0.13015555284414443
TEST_00008,0.563416507782084
TEST_00009,0.0012557369301284256
TEST_00010,0.019874509611228212
TEST_00011,0.42250414543252723
TEST_00012,0.23688528321627308
TEST_00013,0.4621312263798903
TEST_00014,0.446531515508319
TEST_00015,0.0018210604973192398
TEST_00016,0.5913736387092787
TEST_00017,0.3251919230458409
TEST_00018,0.12568176779561027
TEST_00019,0.6526836385135109
TEST_00020,0.22233368535302325
TEST_00021,0.2830781702383132
TEST_00022,0.2259383043948952
TEST_00023,0.05884019840905034
TEST_00024,0.42771921014168035
TEST_00025,0.0007818379432294109
TEST_00026,0.14858335181468085
TEST_00027,0.39438555220167576
TEST_00028,0.18983501347442197
TEST_00029,0.2010638390414156
TEST_00030,0.21132079005345158
TEST_00031,0.18295161685586794
TEST_00032,0.11660159390386957
TEST_00033,0.1863198196491421
TEST_00034,0.595929841037539
TEST_00035,0.0003285958818619765
TEST_00036,0.06878127290447464
TEST_00037,0.6387943883770543
TEST_00038,0.3133152287023737
TEST_00039,0.0011974116957291885
TEST_00040,0.10466948338592552
TEST_00041,0.11582629246349777
TEST_00042,0.26403844930771586
TEST_00043,0.41293923352591866
TEST_00044,0.37249622671408555
TEST_00045,0.2426113217446606
TEST_00046,0.5436115448956097
TEST_00047,0.1342313751089
TEST_00048,0.21100149992564002
TEST_00049,0.590124273772141
TEST_00050,0.14536131809842207
TEST_00051,0.07679967170791491
TEST_00052,0.04173112347998084
TEST_00053,0.1913212676858519
TEST_00054,0.0008764800115904674
TEST_00055,0.6074131279975763
TEST_00056,0.224182880265744
TEST_00057,0.0625999496824422
TEST_00058,0.4536791736298913
TEST_00059,0.15183709595414846
TEST_00060,0.0033624605484109255
TEST_00061,0.3938226583869915
TEST_00062,0.1670411575890844
TEST_00063,0.266057891679926
TEST_00064,0.02569901210241318
TEST_00065,0.003127250017841134
TEST_00066,0.33288497153609414
TEST_00067,0.20875506685391015
TEST_00068,0.2022526710386332
TEST_00069,0.48630731404651084
TEST_00070,0.09731937472486053
TEST_00071,0.5815577502122046
TEST_00072,0.2462727868754822
TEST_00073,0.22163372783453864
TEST_00074,0.06579928397441907
TEST_00075,0.13114672406568226
TEST_00076,0.004094245750618369
TEST_00077,0.0014860435897431272
TEST_00078,0.06193181621993121
TEST_00079,0.17368609690166903
TEST_00080,0.4285702393199436
TEST_00081,0.0006907331248033695
TEST_00082,0.3047339458491628
TEST_00083,0.2783368730749751
TEST_00084,0.37576108298782274
TEST_00085,0.3867488218046498
TEST_00086,0.0008250840687751905
TEST_00087,0.32404332165846395
TEST_00088,0.06373557577406372
TEST_00089,0.42567323784405786
TEST_00090,0.11139088717368391
TEST_00091,0.08909060968035379
TEST_00092,0.16021874959479337
TEST_00093,0.3165828189255057
TEST_00094,0.0007107141301576984
TEST_00095,0.0008205573167649075
TEST_00096,0.24805539834503648
TEST_00097,0.04526705978199389
TEST_00098,0.27494781691904413
TEST_00099,0.0489435625329668
TEST_00100,0.010442232617078396
TEST_00101,0.14310363930080938
TEST_00102,0.3522806592357213
TEST_00103,0.15583336738654627
TEST_00104,0.609045708334663
TEST_00105,0.4004700146873914
TEST_00106,0.3798947369460017
TEST_00107,0.0004727837270124762
TEST_00108,0.3058483379791119
TEST_00109,0.0008730407392551105
TEST_00110,0.602808154659411
TEST_00111,0.2302280352713763
TEST_00112,0.05195709327413307
TEST_00113,0.17475437656959164
TEST_00114,0.05231224545544692
TEST_00115,0.14145972528136344
TEST_00116,0.0015541155896939267
TEST_00117,0.34140822470139587
TEST_00118,0.4156900825258397
TEST_00119,0.28075407698812777
TEST_00120,0.0007212661601579115
TEST_00121,0.0006095443379069777
TEST_00122,0.24680455445150032
TEST_00123,0.5136852224436171
TEST_00124,0.14362946652824898
TEST_00125,0.059884256900206066
TEST_00126,0.0021919077360403375
TEST_00127,0.05438163691441142
TEST_00128,0.16674331560267172
TEST_00129,0.1633940139631866
TEST_00130,0.1521309691043532
TEST_00131,0.22785285233321936
TEST_00132,0.0011257666478868213
TEST_00133,0.11641201215649649
TEST_00134,0.16893268953519175
TEST_00135,0.0005187720472938895
TEST_00136,0.0631993501671455
TEST_00137,0.08791836137670007
TEST_00138,0.07056407645123625
TEST_00139,0.2124948584869357
TEST_00140,0.040483570650139175
TEST_00141,0.0008175207586346903
TEST_00142,0.22231640247322393
TEST_00143,0.0010195246606482995
TEST_00144,0.2596175207522215
TEST_00145,0.8172991706770092
TEST_00146,0.011139801198548877
TEST_00147,0.07304400558335905
TEST_00148,0.05481295203529883
TEST_00149,0.08601085587663626
TEST_00150,0.0009015531955356741
TEST_00151,0.0008533638751281891
TEST_00152,0.755916644777838
TEST_00153,0.35829895540626067
TEST_00154,0.048540554325502534
TEST_00155,0.307134444297346
TEST_00156,0.24676772182474382
TEST_00157,0.21370002113093287
TEST_00158,0.35959836234034254
TEST_00159,0.17230498066721542
TEST_00160,0.21289058565140737
TEST_00161,0.1720361190816649
TEST_00162,0.19541191095103164
TEST_00163,0.0003717299835456936
TEST_00164,0.56071226399487
TEST_00165,0.045685200361450184
TEST_00166,0.5198981844164628
TEST_00167,0.0906630132651301
TEST_00168,0.2333748419160874
TEST_00169,0.21417567737811402
TEST_00170,0.26444829855496377
TEST_00171,0.3456941477764149
TEST_00172,0.31333256849528845
TEST_00173,0.531002778848074
TEST_00174,0.13685918131691027
TEST_00175,0.29476888904492654
TEST_00176,0.23629959273789142
TEST_00177,0.2571136112415552
TEST_00178,0.1675486984525765
TEST_00179,0.36969322272826666
TEST_00180,0.1818691363066704
TEST_00181,0.5235935830061179
TEST_00182,0.12993621053327056
TEST_00183,0.10819987845772003
TEST_00184,0.0765616784357911
TEST_00185,0.2842960218549287
TEST_00186,0.21605021017807027
TEST_00187,0.3826867163407038
TEST_00188,0.2810934115255447
TEST_00189,0.22380956614921765
TEST_00190,0.29907616798050407
TEST_00191,0.6376200585716715
TEST_00192,0.13211340824985462
TEST_00193,0.046785865818178056
TEST_00194,0.6290041949361728
TEST_00195,0.2542822084130453
TEST_00196,0.6410962925547524
TEST_00197,0.31525340530268525
TEST_00198,0.2136413050597642
TEST_00199,0.10877376894762256
TEST_00200,0.37262058626803907
TEST_00201,0.6375164880563806
TEST_00202,0.3326965181458269
TEST_00203,0.3815956905045103
TEST_00204,0.000683647765292531
TEST_00205,0.043034511249054344
TEST_00206,0.001112772359714818
TEST_00207,0.3144466450392295
TEST_00208,0.13335795064520814
TEST_00209,0.09877466402048149
TEST_00210,0.3058132175236628
TEST_00211,0.12300908120771575
TEST_00212,0.27075479063231417
TEST_00213,0.05467030232334286
TEST_00214,0.5927091169289065
TEST_00215,0.29958451844599454
TEST_00216,0.3762303657002458
TEST_00217,0.1309801889409909
TEST_00218,0.5393228651385226
TEST_00219,0.058495805737960385
TEST_00220,0.5856471650901777
TEST_00221,0.2433038953265117
TEST_00222,0.039829409478835454
TEST_00223,0.44534490261255383
TEST_00224,0.10751695788085733
TEST_00225,0.20242390249781755
TEST_00226,0.13380932794839745
TEST_00227,0.12530769660712177
TEST_00228,0.0013819166667637574
TEST_00229,0.4189656547058397
TEST_00230,0.3509399131593851
TEST_00231,0.6266200668323149
TEST_00232,0.25279318442018844
TEST_00233,0.14305192339949027
TEST_00234,0.2133921909098381
